Type,Pfu/mL,logconc,ABS 4501,ABS 4502,ABS 4503,Mean,Error,Square of err,Stdev_Prop
Blocking Phage,1.00E+10,1.00E+01,0.569,0.496,0.516,0.527,0.037722672,0.001423,0.038548671
Blocking Phage,5.00E+09,9.70E+00,0.328,0.327,0.349,0.334666667,0.012423097,0.000154333,0.01474223
Blocking Phage,1.00E+09,9.00E+00,0.172,0.186,0.161,0.173,0.012529964,0.000157,0.014832397
Blocking Phage,5.00E+08,8.70E+00,0.15,0.136,0.127,0.137666667,0.011590226,0.000134333,0.014047538
Blocking Phage,1.00E+08,8.00E+00,0.112,0.114,0.122,0.116,0.005291503,0.000028,0.009539392
Blocking Phage,5.00E+07,7.70E+00,0.128,0.109,0.119,0.118666667,0.009504385,9.03E-05,0.012382784
Blocking Phage,1.00E+07,7.00E+00,0.109,0.099,0.253,0.153666667,0.086170374,0.007425333,0.086535157
Blocking Phage,1.00E+06,6.00E+00,0.097,0.105,0.107,0.103,0.005291503,0.000028,0.009539392
Man 1,1.00E+10,1.00E+01,0.22,0.231,0.24,0.230333333,0.010016653,0.000100333,0.012780193
Man 1,5.00E+09,9.70E+00,0.194,0.176,0.162,0.177333333,0.016041613,0.000257333,0.017897858
Man 1,1.00E+09,9.00E+00,0.106,0.125,0.098,0.109666667,0.013868429,0.000192333,0.015979153
Man 1,5.00E+08,8.70E+00,0.108,0.091,0.165,0.121333333,0.038759945,0.001502333,0.039564294
Man 1,1.00E+08,8.00E+00,0.098,0.107,0.096,0.100333333,0.005859465,3.43E-05,0.009865766
Man 1,5.00E+07,7.70E+00,0.117,0.105,0.103,0.108333333,0.007571878,5.73E-05,0.010969655
Man 1,1.00E+07,7.00E+00,0.094,0.107,0.116,0.105666667,0.01106044,0.000122333,0.013613719
Man 1,1.00E+06,6.00E+00,0.075,0.095,0.087,0.085666667,0.010066446,0.000101333,0.012819256
LNT,1.00E+10,1.00E+01,2.506,2.295,2.156,2.319,0.176229963,0.031057,0.176408617
LNT,5.00E+09,9.70E+00,1.995,2.006,2.065,2.022,0.03764306,0.001417,0.038470768
LNT,1.00E+09,9.00E+00,0.732,0.73,0.751,0.737666667,0.011590226,0.000134333,0.014047538
LNT,5.00E+08,8.70E+00,0.455,0.464,0.45,0.456333333,0.007094599,5.03E-05,0.010645813
LNT,1.00E+08,8.00E+00,0.15,0.135,0.146,0.143666667,0.007767453,6.03E-05,0.011105554
LNT,5.00E+07,7.70E+00,0.126,0.125,0.146,0.132333333,0.011846237,0.000140333,0.0142595
LNT,1.00E+07,7.00E+00,0.104,0.104,0.112,0.106666667,0.004618802,2.13E-05,0.009183318
LNT,1.00E+06,6.00E+00,0.102,0.087,0.117,0.102,0.015,0.000225,0.016970563
Blank,0.00E+00,0.00E+00,0.12,0.117,0.105,0.114,0.007937254,0.000063,